cnn,st_name,st_type,cnntext,the_geom
51126000,LIEBIG,ST,51126000,POINT (-122.45527873980747 37.707912301522924)
33704000,RHINE,ST,33704000,POINT (-122.46231335632307 37.70798826011384)
25323000,POLLARD,PL,25323000,POINT (-122.40642965120786 37.79887233945914)
27999000,44TH,AVE,27999000,POINT (-122.50522585724966 37.781076643928415)
21174000,HARRISON,ST,21174000,POINT (-122.41159284436014 37.749436231246975)
34112000,14TH TI,ST,34112000,POINT (-122.37018720194662 37.83005546309172)
50001000,PERRY,ST,50001000,POINT (-122.39539705869788 37.78325063459242)
54132000,STOREY,AVE,54132000,POINT (-122.47524911534231 37.80433848517235)
54213000,WEST CRYSTAL COVE,TER,54213000,POINT (-122.39509712670409 37.71205424184766)
24617000,STEVENSON,ST,24617000,POINT (-122.40228988364542 37.787617864888354)
23569000,18TH,ST,23569000,POINT (-122.38779479569679 37.76310721722426)
24590000,03RD,ST,24590000,POINT (-122.40046848441116 37.78503028488837)
25203000,LARKIN,ST,25203000,POINT (-122.41855931508533 37.78843234345362)
23607000,SPEAR,ST,23607000,POINT (-122.39097101768476 37.79006980047258)
24944000,SHANNON,ST,24944000,POINT (-122.41214750671492 37.78589292808913)
22274000,CONGO,ST,22274000,POINT (-122.44200527409873 37.73381158799174)
23742000,DE HARO,ST,23742000,POINT (-122.40120000669673 37.761011749113784)
26538000,FRANKLIN,ST,26538000,POINT (-122.4243405167779 37.79196536918904)
26132000,CROWN,CT,26132000,POINT (-122.44694244404509 37.75722892157251)
51247000,RODRIGUEZ,ST,51247000,POINT (-122.4542375508623 37.79623079057882)
20822000,JERROLD,AVE,20822000,POINT (-122.40269801227845 37.74633409357118)
27027000,MASON,ST,27027000,POINT (-122.44832116155011 37.804993825150234)
50751000,NEWHALL,ST,50751000,POINT (-122.38248469050215 37.74192362480782)
20425000,VELASCO,AVE,20425000,POINT (-122.41934779781556 37.709946903150815)
23479000,45TH,AVE,23479000,POINT (-122.50368064048851 37.74369024987053)
24210000,GORDON,ST,24210000,POINT (-122.40968304106413 37.77283775740215)
54240000,AVOCET,WAY,54240000,POINT (-122.36848997464946 37.72881777449382)
26548000,PACIFIC,AVE,26548000,POINT (-122.42322714729879 37.79481735532188)
25719000,HANCOCK,ST,25719000,POINT (-122.43049703264008 37.76035730499404)
32975000,CORBETT,AVE,32975000,POINT (-122.44361010450841 37.75231186061758)
25778000,22ND,ST,25778000,POINT (-122.43877994223057 37.75422857318984)
24091000,26TH,ST,24091000,POINT (-122.41978060060013 37.74894134725465)
26873000,SCOTT,ST,26873000,POINT (-122.44042174462861 37.79646144252417)
21246000,CORTLAND,AVE,21246000,POINT (-122.4185843763688 37.73929727999657)
21419000,CURTIS,ST,21419000,POINT (-122.43756481149904 37.71011366585161)
22556000,19TH,AVE,22556000,POINT (-122.47257245417897 37.717173868891436)
32856000,JOHN F KENNEDY,DR,32856000,POINT (-122.45397952246455 37.77142839545363)
51336000,ARMISTEAD,RD,51336000,POINT (-122.47112429603668 37.804642070024386)
21714000,FRANCE,AVE,21714000,POINT (-122.4343544992229 37.71812520535904)
23537000,TENNESSEE,ST,23537000,POINT (-122.38862907224924 37.75150216404466)
22386000,RIDGEWOOD,AVE,22386000,POINT (-122.45342500482997 37.7330396174554)
30038000,JOHN MAHER,ST,30038000,POINT (-122.40152061718778 37.800919241062594)
21542000,HURON,AVE,21542000,POINT (-122.44941575777995 37.71218224461966)
27299000,ANZA,ST,27299000,POINT (-122.47056761663973 37.77880061148806)
27100000,NORIEGA,ST,27100000,POINT (-122.46672989763066 37.75466792311693)
51971000,SELBY,ST,51971000,POINT (-122.39293127975526 37.74738391980934)
26102000,DIXIE,ALY,26102000,POINT (-122.44247641063822 37.75371897300667)
25907000,OCTAVIA,ST,25907000,POINT (-122.42401188818852 37.77340397352188)
25066000,BROADWAY,,25066000,POINT (-122.40968904401227 37.79749315210121)
27702000,LAWTON,ST,27702000,POINT (-122.493877442171 37.75721129897345)
26833000,BUSH,ST,26833000,POINT (-122.44501985738711 37.78554866866337)
23265000,SANTIAGO,ST,23265000,POINT (-122.48225063879997 37.744634180290326)
23263000,25TH,AVE,23263000,POINT (-122.48212164859618 37.742767282947035)
24055000,HARRISON,ST,24055000,POINT (-122.41310524263795 37.76544760850663)
20967000,SILVER,AVE,20967000,POINT (-122.41455833936075 37.729418629435)
27653000,25TH,AVE,27653000,POINT (-122.48501094386714 37.78388223561789)
25210000,BUSH,ST,25210000,POINT (-122.42030688253116 37.78869904614458)
25548000,ALLEN,ST,25548000,POINT (-122.42014226443253 37.79935014961508)
23023000,HOLLOWAY,AVE,23023000,POINT (-122.4719833989784 37.72166060330083)
25010000,SACRAMENTO,ST,25010000,POINT (-122.40900961273174 37.79301543633094)
52144000,I-280 SOUTHBOUND,,52144000,POINT (-122.39202894745355 37.75066308193474)
23191000,17TH,AVE,23191000,POINT (-122.47381607943727 37.74687408394603)
26724000,FRANKLIN,ST,26724000,POINT (-122.4265652012189 37.802998030485206)
26445000,STANYAN,ST,26445000,POINT (-122.45408321766516 37.77193040440088)
22659000,WILDWOOD,WAY,22659000,POINT (-122.46076365694968 37.727610076387)
30061000,STEINER,ST,30061000,POINT (-122.43759172935026 37.79912484374797)
21800000,SAN JUAN,AVE,21800000,POINT (-122.4379336264352 37.72509445493811)
20820000,HOLLADAY,AVE,20820000,POINT (-122.40557416664613 37.74502868502626)
54104000,WARRIORS,WAY,54104000,POINT (-122.38755912221842 37.768925240545826)
20645000,CARROLL,AVE,20645000,POINT (-122.40340046205964 37.730658352448266)
24378000,VALENCIA,ST,24378000,POINT (-122.42219917402376 37.768139683365256)
27557000,GEARY,BLVD,27557000,POINT (-122.48687804723185 37.7799935399657)
23504000,VICENTE,ST,23504000,POINT (-122.50643560677715 37.73795985255677)
27692000,NORIEGA,ST,27692000,POINT (-122.49361854197456 37.753484776265736)
54207000,CANDLESTICK COVE,WAY,54207000,POINT (-122.3939802933461 37.711728806894136)
33702000,BRUMISS,TER,33702000,POINT (-122.45234680667724 37.70821480435394)
27677000,32ND,AVE,27677000,POINT (-122.49027038174044 37.75175849983777)
24118000,VALENCIA,ST,24118000,POINT (-122.42104114165667 37.75610180649353)
32960000,COPPER,ALY,32960000,POINT (-122.44434962293302 37.756412279171826)
21116000,MACEDONIA,ST,21116000,POINT (-122.40730859501747 37.74626233365296)
25762000,23RD,ST,25762000,POINT (-122.43645426590378 37.75275957297506)
23268000,RIVERA,ST,23268000,POINT (-122.48131042404242 37.74654333301028)
25959000,LAGUNA,ST,25959000,POINT (-122.42701675661984 37.780193030529524)
24913000,OFARRELL,ST,24913000,POINT (-122.40968307215773 37.78620266479215)
23276000,27TH,AVE,23276000,POINT (-122.484263608646 37.74267311191487)
30708000,VAN NESS,AVE,30708000,POINT (-122.42117098656749 37.784283291219886)
26675000,PIERCE,ST,26675000,POINT (-122.43802223340705 37.792926921115615)
23097000,TAPIA,DR,23097000,POINT (-122.48142396235048 37.71905643763622)
27904000,41ST,AVE,27904000,POINT (-122.50159788822508 37.77551996136132)
25134000,FALLON,PL,25134000,POINT (-122.41368277334507 37.79765522700449)
27564000,CORNWALL,ST,27564000,POINT (-122.45913370553887 37.785058871139476)
51565000,OLORAN,AVE,51565000,POINT (-122.44634960662113 37.72508648083854)
52254000,HWY 101 S OFF,RAMP,52254000,POINT (-122.40515267412412 37.74914015470673)
33436000,BROTHERHOOD,WAY,33436000,POINT (-122.4630300286175 37.71142254144017)
35158000,23RD,ST,35158000,POINT (-122.38498058368737 37.755572787604216)
33255000,REVERE,AVE,33255000,POINT (-122.40137332248253 37.7380247162467)
50243000,FREEMAN,CT,50243000,POINT (-122.40988093088737 37.793533593611976)
21954000,LAIDLEY,ST,21954000,POINT (-122.43074128205097 37.740423598666816)
22111000,SANTA YSABEL,AVE,22111000,POINT (-122.4396806703718 37.727689652684376)
21459000,CONCORD,ST,21459000,POINT (-122.44189157929848 37.710314066963285)
26049000,EDDY,ST,26049000,POINT (-122.43397315720668 37.781218802421016)
25980000,14TH,ST,25980000,POINT (-122.43229923969868 37.7675284446613)
51384000,PERSHING,DR,51384000,POINT (-122.47896688328174 37.79164375352794)
25379000,GRANT,AVE,25379000,POINT (-122.40795585697741 37.80250477154453)
26032000,BRODERICK,ST,26032000,POINT (-122.43851676819877 37.77012624689261)
22520000,VICTORIA,ST,22520000,POINT (-122.46529972126484 37.7142869767883)
26454000,CLAYTON,ST,26454000,POINT (-122.44951735556552 37.77445987396431)
34188000,KING,ST,34188000,POINT (-122.39850261468428 37.77171724559916)
51225000,EDIE,RD,51225000,POINT (-122.45290566350546 37.80197340783319)
23207000,PACHECO,ST,23207000,POINT (-122.47728325206802 37.75046289989291)
20902000,SOMERSET,ST,20902000,POINT (-122.40904377095585 37.73020274009306)
50081000,I-80 W OFF,RAMP,50081000,POINT (-122.40777120959628 37.77316601885923)
51471000,CRAGS,CT,51471000,POINT (-122.44050413178346 37.74152943366185)
23698000,WISCONSIN,ST,23698000,POINT (-122.39860609633435 37.75382182701639)
25517000,FILBERT,ST,25517000,POINT (-122.41758697509948 37.80034079180051)
26524000,SUTTER,ST,26524000,POINT (-122.4299789338817 37.78650385850278)
27244000,ANZA,ST,27244000,POINT (-122.46307618037383 37.77913861196045)
24020000,POTRERO,AVE,24020000,POINT (-122.40741973857341 37.76448782952929)
26941000,WASHINGTON,ST,26941000,POINT (-122.45230225763105 37.78930776406114)
34151000,TREASURE ISLAND,RD,34151000,POINT (-122.36366618837391 37.81171442396185)
26534000,BUCHANAN,ST,26534000,POINT (-122.43055099921636 37.7893244967904)
50666000,DORADO,TER,50666000,POINT (-122.46216968081293 37.72632342165697)
24155000,19TH,ST,24155000,POINT (-122.42065953395516 37.76014755367848)
26194000,DEMING,ST,26194000,POINT (-122.44634347474148 37.760410698503435)
32860000,OAK ACCESS,RD,32860000,POINT (-122.4532951319626 37.77139019044711)
27660000,24TH,AVE,27660000,POINT (-122.48415463974119 37.786979085907056)
20659000,OAKDALE,AVE,20659000,POINT (-122.39069377255736 37.7347973590802)
50281000,FORT MASON 8,,50281000,POINT (-122.42839186680493 37.805258441904364)
22629000,OCEAN,AVE,22629000,POINT (-122.4581913910825 37.724317535339146)
26439000,GROVE,ST,26439000,POINT (-122.45281281944777 37.774040692879524)
24827000,VALLEJO,ST,24827000,POINT (-122.40369039027014 37.7992184505502)
20520000,MENDELL,ST,20520000,POINT (-122.3958709847427 37.728285466486895)
23846000,08TH,ST,23846000,POINT (-122.40042858716208 37.76730030367946)
26646000,CLAY,ST,26646000,POINT (-122.43256164967035 37.79091997844968)
52169000,HWY 101 TO I-280,RAMP,52169000,POINT (-122.40818156222947 37.739061925802154)
22611000,JULES,AVE,22611000,POINT (-122.46125052660604 37.72364231297753)
20056000,ARELIOUS WALKER,DR,20056000,POINT (-122.37389036514921 37.73093607116458)
23616000,23RD,ST,23616000,POINT (-122.38998858946859 37.755270146007504)
27129000,MORAGA,ST,27129000,POINT (-122.46900269249144 37.75643832179422)
25620000,CHATTANOOGA,ST,25620000,POINT (-122.42647785203764 37.75335955277937)
23830000,03RD,ST,23830000,POINT (-122.3955177527329 37.78106214162375)
22201000,MOUNT VERNON,AVE,22201000,POINT (-122.45232929661144 37.71995941802575)
23305000,EUCALYPTUS,DR,23305000,POINT (-122.49051818431427 37.730939845399924)
27771000,MORAGA,ST,27771000,POINT (-122.50124924249047 37.75500279329357)
25541000,EASTMAN,ST,25541000,POINT (-122.41998568892647 37.7985946045008)
30821000,VALLEJO,ST,30821000,POINT (-122.44658786259835 37.79376512061654)
20218000,MENDELL,ST,20218000,POINT (-122.38752801506027 37.73773065853756)
21658000,ATHENS,ST,21658000,POINT (-122.42350866858786 37.728206721656846)
22252000,MONTECITO,AVE,22252000,POINT (-122.45576580401365 37.7299520472025)
51298000,PATTEN,RD,51298000,POINT (-122.46465209523383 37.801667246799845)
21877000,30TH,ST,21877000,POINT (-122.42787939085201 37.742015444983124)
51409000,21ST,AVE,51409000,POINT (-122.48092970695146 37.78689306280105)
33125000,KANSAS,ST,33125000,POINT (-122.40268055595493 37.755793693078736)
22676000,KENWOOD,WAY,22676000,POINT (-122.46000248326072 37.72873943734824)
51476000,LYON,ST,51476000,POINT (-122.44824072298081 37.804477679946636)
23996000,21ST,ST,23996000,POINT (-122.41142437034297 37.75748490215075)
24340000,ADAIR,ST,24340000,POINT (-122.41754231760767 37.76575213332955)
21704000,ADMIRAL,AVE,21704000,POINT (-122.43094452819393 37.73057751740725)
20268000,GILLETTE,AVE,20268000,POINT (-122.39648139011673 37.71099414913412)
21359000,CARTER,ST,21359000,POINT (-122.42335343598513 37.709250950699115)
33377000,BADEN,ST,33377000,POINT (-122.43898319450122 37.729588971414536)
26311000,BUENA VISTA,AVE,26311000,POINT (-122.43930139966952 37.76816552488623)
33183000,THORNTON,AVE,33183000,POINT (-122.40470639417171 37.73031802066919)
33646000,CANDLESTICK POINT SRA,,33646000,POINT (-122.38159079651318 37.71271764935387)
23242000,PALOS,PL,23242000,POINT (-122.48501509488426 37.73508226339358)
26885000,JACKSON,ST,26885000,POINT (-122.4461168065173 37.79099929478399)
51185000,UNNAMED 077,,51185000,POINT (-122.4734346110084 37.806724297326184)
22902000,SAN ANSELMO,AVE,22902000,POINT (-122.4644397254744 37.73463760179132)
33757000,BAY SHORE,BLVD,33757000,POINT (-122.40422823558251 37.745568082010855)
26926000,IRIS,AVE,26926000,POINT (-122.45187543765587 37.784126741296326)
24976000,POWELL,ST,24976000,POINT (-122.40878610660702 37.79015950099559)
27327000,16TH,AVE,27327000,POINT (-122.47369776752014 37.75810032427556)
24044000,BRYANT,ST,24044000,POINT (-122.41036374895279 37.76430998482863)
22432000,DEL SUR,AVE,22432000,POINT (-122.45574766649436 37.74207462221888)
22459000,CAPITOL,AVE,22459000,POINT (-122.45900546804288 37.71138732989694)
33333000,SILVER,AVE,33333000,POINT (-122.41422537463612 37.7295319271684)
20470000,JENNINGS,ST,20470000,POINT (-122.39430194848627 37.72078305399722)
24713000,SANSOME,ST,24713000,POINT (-122.4019069465761 37.796875708527544)
24521000,LANSING,ST,24521000,POINT (-122.39437053631086 37.785740422255174)
23974000,ALABAMA,ST,23974000,POINT (-122.41081071239101 37.75109168841395)
22844000,LAGUNA HONDA,BLVD,22844000,POINT (-122.45684795164577 37.74480758465072)
23236000,VICENTE,ST,23236000,POINT (-122.48185873902008 37.73904154705881)
24616000,03RD,ST,24616000,POINT (-122.40257522751455 37.78667820829715)
21140000,ALABAMA,ST,21140000,POINT (-122.4104951987574 37.7473541993463)
54408000,HUDSON,AVE,54408000,POINT (-122.37583040690419 37.732977241278775)
34022000,AVENUE OF THE PALMS,,34022000,POINT (-122.37132892672723 37.81600630565733)
27773000,42ND,AVE,27773000,POINT (-122.50137421501155 37.75688182271084)
20765000,CHARTER OAK,AVE,20765000,POINT (-122.40434481245991 37.73314373042966)
22727000,MONTICELLO,ST,22727000,POINT (-122.4707520037274 37.71964622279823)
54142000,CRESCENT,CT,54142000,POINT (-122.38842784956283 37.711453896770784)
27051000,WARREN,DR,27051000,POINT (-122.46121412403363 37.75449712983126)
50179000,TRENTON,ST,50179000,POINT (-122.40898918339956 37.79528096557658)
23475000,43RD,AVE,23475000,POINT (-122.50153572617717 37.74378490410565)
23550000,24TH,ST,23550000,POINT (-122.38787864064669 37.75411214635728)
22238000,GENNESSEE,ST,22238000,POINT (-122.45113130639233 37.72906230815006)
26003000,PAGE,ST,26003000,POINT (-122.43392218803747 37.77262031118224)
25386000,CHESTNUT,ST,25386000,POINT (-122.40675021705829 37.80445525254544)
23386000,38TH,AVE,23386000,POINT (-122.49604923932417 37.742152443045676)
27855000,CLEMENT,ST,27855000,POINT (-122.49237515677426 37.781676654915564)
26096000,GRAND VIEW,AVE,26096000,POINT (-122.44013389281878 37.756422684778244)
24708000,WASHINGTON,ST,24708000,POINT (-122.40111007513967 37.79579336343277)
51434000,MUIR,LOOP,51434000,POINT (-122.44838884336252 37.79506702093159)
25443000,SCOTLAND,ST,25443000,POINT (-122.4123072604597 37.801009012617996)
50692000,JUNIPER,ST,50692000,POINT (-122.41235024829862 37.771489518719974)
20639000,GOETTINGEN,ST,20639000,POINT (-122.40557161260672 37.7244606942942)
51941000,VON SCHMIDT,ST,51941000,POINT (-122.36717427992916 37.71011803520441)
24892000,ELLIS,ST,24892000,POINT (-122.40583101130326 37.78574398961077)
21691000,LISBON,ST,21691000,POINT (-122.43016970024277 37.72654377803111)
51874000,TULARE,ST,51874000,POINT (-122.38630811335526 37.74782376867736)
27168000,FUNSTON,AVE,27168000,POINT (-122.47046492262275 37.76198699232634)
32950000,DELLBROOK,AVE,32950000,POINT (-122.45415436229229 37.755029376551164)
21898000,26TH,ST,21898000,POINT (-122.42257106199877 37.7487728978268)
26404000,DOWNEY,ST,26404000,POINT (-122.44719918801242 37.767110558809904)
54344000,ARGUELLO,BLVD,54344000,POINT (-122.45871181303679 37.79008572061227)
22069000,ONONDAGA,AVE,22069000,POINT (-122.44054127293909 37.722375127108926)
50687000,RONDEL,PL,50687000,POINT (-122.4211215119731 37.76372342900179)
26878000,GREEN,ST,26878000,POINT (-122.44357341990786 37.79510794592147)
22456000,SAN JOSE,AVE,22456000,POINT (-122.45581573833776 37.711222853457514)
27198000,PARSONS,ST,27198000,POINT (-122.45525254425061 37.77468690594449)
34127000,GATEVIEW,AVE,34127000,POINT (-122.37751034602765 37.82725876641752)
25931000,LINDEN,ST,25931000,POINT (-122.42781909965456 37.775786575861375)
22967000,TARAVAL,ST,22967000,POINT (-122.46580699039576 37.74357405039862)
27754000,40TH,AVE,27754000,POINT (-122.49884224934962 37.751381160860916)
26266000,COLE,ST,26266000,POINT (-122.44912021444281 37.76164812572096)
23204000,QUINTARA,ST,23204000,POINT (-122.47603309883648 37.74864750758935)
27454000,CABRILLO,ST,27454000,POINT (-122.4746861143648 37.77487657335158)
22741000,LUNADO,WAY,22741000,POINT (-122.47130403669875 37.72372007082599)
25900000,WEBSTER,ST,25900000,POINT (-122.42917834351744 37.77418142245605)
23857000,RHODE ISLAND,ST,23857000,POINT (-122.40280699534222 37.76737321747353)
25442000,COLUMBUS,AVE,25442000,POINT (-122.41254127823453 37.80193063663566)
21150000,HARRISON,ST,21150000,POINT (-122.41135791796367 37.74426626067157)
26546000,GOUGH,ST,26546000,POINT (-122.42633525618358 37.79351719410656)
52229000,IOWA,ST,52229000,POINT (-122.39262605348904 37.762813358808)
25349000,FILBERT,ST,25349000,POINT (-122.40776959024483 37.80157082604266)
22748000,BORICA,ST,22748000,POINT (-122.46730790607532 37.72556998472901)
20274000,TOCOLOMA,AVE,20274000,POINT (-122.39820445661127 37.71140425539436)
26331000,MASONIC,AVE,26331000,POINT (-122.44454812115663 37.766423520189505)
25331000,FRESNO,ST,25331000,POINT (-122.40714883685362 37.7984898036127)
27044000,VENTURA,AVE,27044000,POINT (-122.46332966617206 37.7515822797509)
33347000,LINDA VISTA,STPS,33347000,POINT (-122.42969859923237 37.71226439984248)
26659000,BUCHANAN,ST,26659000,POINT (-122.43220428857136 37.797506949353625)
27839000,29TH,AVE,27839000,POINT (-122.4890134926768 37.77989057533959)
25475000,BEACH,ST,25475000,POINT (-122.4090504954057 37.808110753951915)
32868000,37TH,AVE,32868000,POINT (-122.4965038369812 37.763981959337386)
23837000,ZOE,ST,23837000,POINT (-122.39684582189952 37.78052716109075)
27941000,KIRKHAM,ST,27941000,POINT (-122.50793631282032 37.75846589206873)
27953000,48TH,AVE,27953000,POINT (-122.50819857286045 37.762190312095555)
24171000,MISSION,ST,24171000,POINT (-122.41982523426937 37.76667360151142)
50322000,ELLIS,ST,50322000,POINT (-122.42882263122985 37.78282703210791)
23138000,RIVERTON,DR,23138000,POINT (-122.48705239745897 37.73080573160306)
50702000,MERSEY,ST,50702000,POINT (-122.42602155633725 37.754193654859584)
33510000,BROOKHAVEN,LN,33510000,POINT (-122.49624477322317 37.73162035659245)
23805000,STANFORD,ST,23805000,POINT (-122.39106458433858 37.780182450369374)
20985000,BURROWS,ST,20985000,POINT (-122.42086115058972 37.724454214330095)
34077000,10TH TI,ST,34077000,POINT (-122.36663116267177 37.82787967228005)
25401000,CHESTNUT,ST,25401000,POINT (-122.40932450305412 37.80424337187245)
28195000,BRIDGEVIEW,DR,28195000,POINT (-122.39616954480648 37.734930845223026)
22903000,MONTEREY,BLVD,22903000,POINT (-122.46565867819974 37.73315289888143)
23615000,25TH,ST,23615000,POINT (-122.39361946877982 37.752485366053456)
21087000,EUGENIA,AVE,21087000,POINT (-122.41454562009923 37.74034687849601)
52055000,SUNBEAM,LN,52055000,POINT (-122.44043262345232 37.720126038065274)
23644000,20TH,ST,23644000,POINT (-122.39045425157548 37.760424346442896)
22922000,SANTA MONICA,WAY,22922000,POINT (-122.46520437470653 37.738835265400965)
25946000,LAGUNA,ST,25946000,POINT (-122.42682855637588 37.77925797107024)
21948000,SUSSEX,ST,21948000,POINT (-122.43469728107965 37.73725631718868)
23774000,KANSAS,ST,23774000,POINT (-122.4035270344153 37.76472287045682)
25273000,PACIFIC,AVE,25273000,POINT (-122.41700510786312 37.79562571456189)
50571000,MONUMENT,WAY,50571000,POINT (-122.44649641880592 37.76268690253992)
26869000,SCOTT,ST,26869000,POINT (-122.44004521732015 37.79459776086892)
33394000,SAN JOSE,AVE,33394000,POINT (-122.43126156262485 37.73350543834679)
24327000,08TH,ST,24327000,POINT (-122.41414337589687 37.77824088383675)
21785000,BOSWORTH,ST,21785000,POINT (-122.43168540515386 37.73165152505401)
50230000,CENTURY,PL,50230000,POINT (-122.40154179191377 37.7915530172244)
23897000,BRYANT,ST,23897000,POINT (-122.40252409682918 37.776039321324056)
25715000,NOE,ST,25715000,POINT (-122.43248416636857 37.75782051461558)
23531000,ILLINOIS,ST,23531000,POINT (-122.3864279291656 37.749065821206116)
52257000,HWY 101 NORTHBOUND,RAMP,52257000,POINT (-122.41975852477438 37.770672595456084)
27183000,KEZAR,DR,27183000,POINT (-122.4586371612752 37.76720000039662)
20642000,QUINT,ST,20642000,POINT (-122.4030216216084 37.729901901519675)
24371000,MINNA,ST,24371000,POINT (-122.41907172182735 37.76671911233775)
22946000,MADRONE,AVE,22946000,POINT (-122.46826687997506 37.74002154100789)
50773000,MATTHEW,CT,50773000,POINT (-122.38027481444617 37.731409096251674)
25042000,STONE,ST,25042000,POINT (-122.40916434976623 37.79480744555861)
21906000,28TH,ST,21906000,POINT (-122.42682230400179 37.745298501312384)
20569000,SALINAS,AVE,20569000,POINT (-122.39992501727288 37.721517271984126)
51928000,SAN BRUNO,AVE,51928000,POINT (-122.40790335316416 37.73799547797745)
22999000,RIVERA,ST,22999000,POINT (-122.47051178828517 37.74701981680519)
25771000,DIAMOND,ST,25771000,POINT (-122.43659981375627 37.754358704255246)
26600000,SUTTER,ST,26600000,POINT (-122.4315520243922 37.78630396288761)
26738000,MAGNOLIA,ST,26738000,POINT (-122.43286367812712 37.80077300423161)
21279000,ESMERALDA,AVE,21279000,POINT (-122.4174215266856 37.74322272287163)
23281000,RIVERA,ST,23281000,POINT (-122.48559732087008 37.74635408610733)
54149000,KORET,WAY,54149000,POINT (-122.45943170450116 37.76224321042069)
25826000,BEAVER,ST,25826000,POINT (-122.43706658560578 37.765859865483314)
21223000,POWHATTAN,AVE,21223000,POINT (-122.41630588097885 37.74163731322623)
23985000,BALMY,ST,23985000,POINT (-122.41246351190637 37.75260114632896)
21346000,VALENCIA,ST,21346000,POINT (-122.42035371101265 37.74890653095837)
54239000,GIRARD,RD,54239000,POINT (-122.45222120019146 37.8027612915784)
50522000,PARAMOUNT,TER,50522000,POINT (-122.4558292188262 37.77621437449016)
23433000,WAWONA,ST,23433000,POINT (-122.49993927550118 37.73637053196774)
23141000,JUNIPERO SERRA,BLVD,23141000,POINT (-122.471569341106 37.734706810852636)
24390000,GOUGH,ST,24390000,POINT (-122.42034436835198 37.77177024992239)
50199000,HAMLIN,ST,50199000,POINT (-122.41792394016657 37.79886349869124)
28058000,JACK LONDON,ALY,28058000,POINT (-122.3940928369628 37.781691312710294)
22528000,ALEMANY,BLVD,22528000,POINT (-122.46928846012742 37.71059343926866)
22617000,HOLLOWAY,AVE,22617000,POINT (-122.4635816475789 37.721686104377625)
33679000,ASPEN,CT,33679000,POINT (-122.42607352714225 37.70934710889927)
26840000,PRESIDIO,AVE,26840000,POINT (-122.44642170853979 37.78537026460676)
23658000,22ND,ST,23658000,POINT (-122.3951222085679 37.75804679709724)
33574000,UNNAMED 031,,33574000,POINT (-122.46568539489256 37.747484672388744)
21076000,GATES,ST,21076000,POINT (-122.41410345270553 37.7371054610195)
22107000,SAN JUAN,AVE,22107000,POINT (-122.44051699460856 37.72644718877032)
25821000,17TH,ST,25821000,POINT (-122.4364374513692 37.76240858601429)
51980000,LOEHR,ST,51980000,POINT (-122.41377723291163 37.71222495778955)
33312000,MERRILL,ST,33312000,POINT (-122.40891444840071 37.73142809664955)
20434000,JAMESTOWN,AVE,20434000,POINT (-122.39072310527652 37.71692190586831)
23926000,COLUMBIA SQUARE,ST,23926000,POINT (-122.40643633579406 37.77785653713777)
22320000,DUNCAN,ST,22320000,POINT (-122.44337398935745 37.74589849015432)
24971000,BUSH,ST,24971000,POINT (-122.40750049526133 37.790321891017314)
20813000,LOOMIS,ST,20813000,POINT (-122.404306292294 37.74252073415632)
27332000,18TH,AVE,27332000,POINT (-122.47566586500942 37.75801377550707)
21646000,AVALON,AVE,21646000,POINT (-122.42768437529428 37.725519907678134)
50084000,I-80 WESTBOUND,,50084000,POINT (-122.4067880572173 37.77259936489395)
50506000,NORMANDIE,TER,50506000,POINT (-122.44082496847645 37.79427924776629)
20506000,UNDERWOOD,AVE,20506000,POINT (-122.39185241972021 37.729785555031356)
24184000,CALEDONIA,ST,24184000,POINT (-122.42138147554029 37.76494788794265)
24867000,GREENWICH,ST,24867000,POINT (-122.40315960671731 37.80309838010595)
22196000,LAKEVIEW,AVE,22196000,POINT (-122.4526418463463 37.71737565453608)
51376000,BELLES,ST,51376000,POINT (-122.47333271729752 37.788447173119025)
30718000,SANSOME,ST,30718000,POINT (-122.40297367642071 37.802166749577545)
33002000,YERBA BUENA,AVE,33002000,POINT (-122.4603360097372 37.73506478853135)
51913000,BOWDOIN,ST,51913000,POINT (-122.41335793930122 37.73240195642183)
24979000,STOCKTON,ST,24979000,POINT (-122.40732292880973 37.791298135895495)
51560000,POINT LOBOS,AVE,51560000,POINT (-122.51142413955324 37.779409663641374)
27285000,07TH,AVE,27285000,POINT (-122.46535287064825 37.78096549127577)
24368000,14TH,ST,24368000,POINT (-122.41855593263558 37.76835975117645)
21437000,BRUNSWICK,ST,21437000,POINT (-122.43805871625882 37.71202136875471)
24038000,19TH,ST,24038000,POINT (-122.41264307000873 37.760323878016706)
27083000,05TH,AVE,27083000,POINT (-122.4620305410795 37.76422483790872)
51271000,LINCOLN,BLVD,51271000,POINT (-122.45385901818418 37.800579838637724)
20376000,GARRISON,AVE,20376000,POINT (-122.41316181181641 37.71042610007488)
26413000,WALLER,ST,26413000,POINT (-122.45052179504077 37.76859272760035)
21506000,FLORENTINE,AVE,21506000,POINT (-122.44319235866998 37.711943952959096)
22296000,TERESITA,BLVD,22296000,POINT (-122.4462266337541 37.73730659084104)
52063000,UNNAMED 120,,52063000,POINT (-122.43733735672949 37.7289661657113)
23682000,CONNECTICUT,ST,23682000,POINT (-122.39761270801114 37.76379389361802)
22038000,DUNCAN,ST,22038000,POINT (-122.44008804874733 37.745296035538516)
20058000,KISKA,RD,20058000,POINT (-122.37720261293461 37.73001582751144)
24853000,GREEN,ST,24853000,POINT (-122.40505102038763 37.80000081528736)
26273000,ALMA,ST,26273000,POINT (-122.44810943573853 37.763367231749655)
