cnn,st_name,st_type,cnntext,the_geom
25083000,SPROULE,LN,25083000,POINT (-122.41210908535805 37.79352452765397)
23067000,STONECREST,DR,23067000,POINT (-122.47423317408261 37.72688808977965)
54369000,HWY 101 SOUTHBOUND,RAMP,54369000,POINT (-122.45590391357449 37.802913601513104)
54141000,MCRAE,ST,54141000,POINT (-122.45446335655123 37.794158362943136)
21815000,ACADIA,ST,21815000,POINT (-122.43745753602477 37.73158979477977)
26282000,CARL,ST,26282000,POINT (-122.44995813151347 37.7658000289003)
22561000,GARCES,DR,22561000,POINT (-122.47843169379125 37.71591005791579)
21304000,CESAR CHAVEZ,ST,21304000,POINT (-122.41822117060404 37.7481656891385)
21037000,CORTLAND,AVE,21037000,POINT (-122.40949339376799 37.739717625066866)
24187000,ALAMEDA,ST,24187000,POINT (-122.4067985893113 37.76841488236247)
22986000,FUNSTON,AVE,22986000,POINT (-122.46903011414537 37.74147206091656)
52261000,I-280 N OFF,RAMP,52261000,POINT (-122.44775155342988 37.72115530696655)
27480000,14TH,AVE,27480000,POINT (-122.47284399426384 37.780630788073935)
23361000,36TH,AVE,23361000,POINT (-122.49340696674955 37.7348561212414)
24327000,STEVENSON,ST,24327000,POINT (-122.41414337589687 37.77824088383675)
33117000,ARTHUR,AVE,33117000,POINT (-122.3879970824364 37.74661879926631)
27765000,43RD,AVE,27765000,POINT (-122.50206032058291 37.7512397654127)
23953000,24TH,ST,23953000,POINT (-122.40633623715956 37.753004030546954)
26368000,SAINT JOSEPHS,AVE,26368000,POINT (-122.44133950189432 37.78123546729109)
27823000,36TH,AVE,27823000,POINT (-122.4956965705047 37.77166582331735)
22409000,AGUA,WAY,22409000,POINT (-122.45064408255088 37.74222305439302)
25188000,FRANKLIN,ST,25188000,POINT (-122.42255798105396 37.783151427992756)
20065000,OAKDALE,AVE,20065000,POINT (-122.37917473884119 37.72823178598561)
23742000,19TH,ST,23742000,POINT (-122.40120000669673 37.761011749113784)
52113000,HWY 101 SOUTHBOUND,,52113000,POINT (-122.40449651085572 37.74720843118928)
23098000,ARBALLO,DR,23098000,POINT (-122.48310424005287 37.71910902809406)
21996000,SWISS,AVE,21996000,POINT (-122.43820852193177 37.73772253002188)
33497000,SAFIRA,LN,33497000,POINT (-122.44008978458967 37.74634799179372)
26015000,BUENA VISTA,TER,26015000,POINT (-122.43819954364345 37.76715855526797)
25638000,JERSEY,ST,25638000,POINT (-122.427354637469 37.75089589887579)
24656000,SECURITY PACIFIC,PL,24656000,POINT (-122.40534607879762 37.786747618616204)
33714000,CHURCH ACCESS,RD,33714000,POINT (-122.48035398531204 37.71433901973843)
21764000,TINGLEY,ST,21764000,POINT (-122.43180080209713 37.72824946693778)
27655000,25TH,AVE,27655000,POINT (-122.48514793838653 37.785746010031914)
22561000,GONZALEZ,DR,22561000,POINT (-122.47843169379125 37.71591005791579)
50178000,DORIC,ALY,50178000,POINT (-122.41100577580586 37.79509201518908)
20403000,RIO VERDE,ST,20403000,POINT (-122.41504908572723 37.708738032923236)
25500000,ROACH,ST,25500000,POINT (-122.4148551778121 37.8011651725097)
24769000,MONTGOMERY,ST,24769000,POINT (-122.40379710331977 37.79789357703022)
26978000,SCOTT,ST,26978000,POINT (-122.44136827372182 37.80112569968245)
23972000,YORK,ST,23972000,POINT (-122.40865127283612 37.75765111703355)
50569000,DOUGLASS,ST,50569000,POINT (-122.43960979852056 37.763487643030466)
20360000,TEDDY,AVE,20360000,POINT (-122.4086033842152 37.715155679613915)
21206000,ANDOVER,ST,21206000,POINT (-122.41661255704358 37.73724794846343)
23774000,17TH,ST,23774000,POINT (-122.4035270344153 37.76472287045682)
25094000,JONES,ST,25094000,POINT (-122.41429326452989 37.792342610398535)
27052000,CRESTMONT,DR,27052000,POINT (-122.45956450991802 37.75593368390964)
33544000,LAUREL,ST,33544000,POINT (-122.45099545919956 37.79120990593995)
21544000,RAE,AVE,21544000,POINT (-122.45013809708468 37.71060922990284)
25504000,GREENWICH,ST,25504000,POINT (-122.41613299648505 37.80148086031039)
32936000,CORBIN,PL,32936000,POINT (-122.44287938599504 37.761723609420606)
25437000,UNION,ST,25437000,POINT (-122.41411971716853 37.79982427574704)
30009000,PERRY,ST,30009000,POINT (-122.40131210125783 37.778608332610844)
21913000,28TH,ST,21913000,POINT (-122.42903667185719 37.745165387193)
24528000,01ST,ST,24528000,POINT (-122.39547795045166 37.78809218273656)
24512000,HARRISON,ST,24512000,POINT (-122.39570330316897 37.7838823697895)
21161000,FOLSOM,ST,21161000,POINT (-122.41337632273397 37.74514913356835)
23867000,DE HARO,ST,23867000,POINT (-122.40207312531182 37.769885043713536)
54016000,LOTTIE BENNETT,LN,54016000,POINT (-122.42818226157475 37.784145791024194)
54237000,HWY 101 SOUTHBOUND,,54237000,POINT (-122.4670888029525 37.80238359758269)
34012000,BURNETT,AVE,34012000,POINT (-122.44448513512273 37.75635356186281)
20472000,PAUL,AVE,20472000,POINT (-122.39562276054865 37.722431604087326)
22567000,BUCARELI,DR,22567000,POINT (-122.48163234630945 37.71574013706458)
34163000,CHINA BASIN,ST,34163000,POINT (-122.3868840726046 37.772162176766614)
20810000,BARNEVELD,AVE,20810000,POINT (-122.40345131951746 37.742036220833675)
25323000,VALLEJO,ST,25323000,POINT (-122.40642965120786 37.79887233945914)
21316000,PROSPECT,AVE,21316000,POINT (-122.41981090276104 37.7418335538182)
24476000,FRANKLIN,ST,24476000,POINT (-122.42208679288376 37.78082104809491)
23703000,CAROLINA,ST,23703000,POINT (-122.39990737695406 37.75724266421609)
23262000,24TH,AVE,23262000,POINT (-122.48118121529473 37.74468118335112)
25325000,GRANT,AVE,25325000,POINT (-122.40720639396787 37.79877630949931)
25598000,BEACH,ST,25598000,POINT (-122.41957724303809 37.806780112462555)
23542000,25TH,ST,23542000,POINT (-122.38875318059976 37.752777807533654)
50974000,FRANCE,AVE,50974000,POINT (-122.43067020211967 37.71645345242861)
20163000,INNES,AVE,20163000,POINT (-122.37575821515861 37.73199660036014)
25095000,TAYLOR,ST,25095000,POINT (-122.4128292155094 37.79343239481512)
20687000,JERROLD,AVE,20687000,POINT (-122.39311497908326 37.74090096127898)
20355000,LELAND,AVE,20355000,POINT (-122.40833406009844 37.71281360923104)
21039000,POWHATTAN,AVE,21039000,POINT (-122.40950035704975 37.741316360650366)
23190000,16TH,AVE,23190000,POINT (-122.47287310902998 37.74878675973068)
22843000,ROCKAWAY,AVE,22843000,POINT (-122.45696290526801 37.74337043143567)
20333000,CAMPBELL,AVE,20333000,POINT (-122.40618936747639 37.71524434477389)
33129000,LA SALLE,AVE,33129000,POINT (-122.37376611451809 37.72800546453839)
27613000,LAKE,ST,27613000,POINT (-122.47111460394405 37.78638724330423)
20657000,03RD,ST,20657000,POINT (-122.39684142738452 37.78211912249527)
27869000,JOHN F KENNEDY,DR,27869000,POINT (-122.50182634902468 37.7677264809401)
27867000,CABRILLO,ST,27867000,POINT (-122.49931886927922 37.77375088889039)
22255000,RIDGEWOOD,AVE,22255000,POINT (-122.45341905239961 37.73230557099805)
26498000,BUSH,ST,26498000,POINT (-122.42359407219705 37.788279732905345)
24090000,25TH,ST,24090000,POINT (-122.41993366352402 37.75054040508225)
50072000,I-80 EASTBOUND,,50072000,POINT (-122.40098811829837 37.778136982202184)
23904000,04TH,ST,23904000,POINT (-122.39907963435903 37.78036288758929)
21879000,RANDALL,ST,21879000,POINT (-122.42791489551944 37.73965240375197)
52097000,20TH,AVE,52097000,POINT (-122.47581752036929 37.725495090538715)
51407000,19TH,AVE,51407000,POINT (-122.47876483488089 37.78673788117977)
23648000,20TH,ST,23648000,POINT (-122.39336473192681 37.76020191282705)
27601000,08TH,AVE,27601000,POINT (-122.46683033510617 37.7865681357251)
25924000,HICKORY,ST,25924000,POINT (-122.42763099928834 37.774857949134955)
51951000,ALVORD,ST,51951000,POINT (-122.37576650269725 37.71310692957141)
25373000,KEARNY,ST,25373000,POINT (-122.40658211199224 37.80363200506487)
25745000,CASTRO,ST,25745000,POINT (-122.43423975722331 37.75289128311098)
21497000,LOWELL,ST,21497000,POINT (-122.44550334417613 37.70981331487338)
20512000,THORNTON,AVE,20512000,POINT (-122.39326226421335 37.730799944565575)
32941000,CLOVER,LN,32941000,POINT (-122.44107340470758 37.75969174381583)
32966000,DIXIE,ALY,32966000,POINT (-122.44406417038866 37.75417073726449)
51970000,GALVEZ,AVE,51970000,POINT (-122.36628638079259 37.728480146069046)
21786000,CAYUGA,AVE,21786000,POINT (-122.4322205151354 37.730780433272464)
23122000,26TH,AVE,23122000,POINT (-122.48178740529939 37.73116975393358)
21501000,LOWELL,ST,21501000,POINT (-122.44616813791677 37.71103928327357)
20056000,INNES,AVE,20056000,POINT (-122.37389036514921 37.73093607116458)
33855000,MARYLAND,ST,33855000,POINT (-122.38358153614695 37.758274141520474)
21470000,CURTIS,ST,21470000,POINT (-122.43941695447042 37.71299499730004)
23846000,HOOPER,ST,23846000,POINT (-122.40042858716208 37.76730030367946)
26446000,STANYAN,ST,26446000,POINT (-122.45428511657029 37.772895178149774)
20406000,HAHN,ST,20406000,POINT (-122.41688354993269 37.70995038147233)
25933000,HAYES,ST,25933000,POINT (-122.42791371479599 37.776253667764585)
21710000,VIENNA,ST,21710000,POINT (-122.43158485797925 37.71891610082724)
27813000,30TH,AVE,27813000,POINT (-122.48953948027439 37.772325473675465)
54250000,AVOCET,WAY,54250000,POINT (-122.36904927952041 37.72819683014475)
34010000,LAS VILLAS,CT,34010000,POINT (-122.3857554846129 37.733988385487805)
50100000,I-280 SOUTHBOUND,,50100000,POINT (-122.39771683306778 37.769386935314955)
22191000,NIAGARA,AVE,22191000,POINT (-122.45092723316783 37.72081269423607)
33472000,JUNIPERO SERRA BLVD ON,RAMP,33472000,POINT (-122.47110627358761 37.71241364938054)
25938000,BUCHANAN,ST,25938000,POINT (-122.42810097690604 37.77717811696825)
22099000,SENECA,AVE,22099000,POINT (-122.44450117831138 37.72109566052303)
27886000,BALBOA,ST,27886000,POINT (-122.49838557216923 37.775666700452724)
24791000,KEARNY,ST,24791000,POINT (-122.40528839705553 37.796909057582354)
26335000,ASHBURY,ST,26335000,POINT (-122.44636925924249 37.76722025616441)
26492000,GOUGH,ST,26492000,POINT (-122.42429481284431 37.78339985848238)
27416000,JUDAH,ST,27416000,POINT (-122.48342310288368 37.761417279277175)
21478000,CONCORD,ST,21478000,POINT (-122.44256641672374 37.712115304647746)
34028000,AVENUE D,,34028000,POINT (-122.36906091120746 37.818749019871525)
23167000,WAWONA,ST,23167000,POINT (-122.47636827023938 37.737407341984294)
26606000,PINE,ST,26606000,POINT (-122.432825558023 37.78805463464988)
22711000,ARCH,ST,22711000,POINT (-122.46718515850056 37.721661725814954)
50639000,VENTURA,AVE,50639000,POINT (-122.46219591252373 37.751085938622964)
20155000,SHAFTER,AVE,20155000,POINT (-122.3869842017921 37.72891865614491)
51588000,19TH,ST,51588000,POINT (-122.39191236898037 37.761571407286)
22516000,ARCH,ST,22516000,POINT (-122.46702750649406 37.71149496987302)
27128000,LAWTON,ST,27128000,POINT (-122.46806034329508 37.75835088469711)
33404000,OLORAN,AVE,33404000,POINT (-122.44118854044116 37.72939392944118)
21085000,FOLSOM,ST,21085000,POINT (-122.41330664426975 37.7402870243741)
34021000,TREASURE ISLAND,RD,34021000,POINT (-122.37103153838501 37.81322380507348)
20592000,RUTLAND,ST,20592000,POINT (-122.40502199021405 37.7179452396723)
22494000,ORIZABA,AVE,22494000,POINT (-122.46256899944595 37.713150165358925)
20970000,SILVER,AVE,20970000,POINT (-122.41617440986118 37.728919470208304)
33475000,BROTHERHOOD,WAY,33475000,POINT (-122.47255070982452 37.71278412263636)
50860000,INNES,AVE,50860000,POINT (-122.38541856406009 37.73743472837931)
23832000,FREELON,ST,23832000,POINT (-122.3970617161943 37.77875105344976)
27522000,CABRILLO,ST,27522000,POINT (-122.48539726633882 37.774387724717386)
23300000,OCEAN,AVE,23300000,POINT (-122.48889995865194 37.732121650853074)
21013000,RICKARD,ST,21013000,POINT (-122.40805224072842 37.73403149469478)
27525000,27TH,AVE,27525000,POINT (-122.48633406097738 37.772471576263946)
27757000,38TH,AVE,27757000,POINT (-122.49695965088156 37.755202001039315)
25013000,POWELL,ST,25013000,POINT (-122.40936128552535 37.79297077209916)
22405000,MARIETTA,DR,22405000,POINT (-122.44843969924938 37.7412266669804)
22721000,BYXBEE,ST,22721000,POINT (-122.46983762650699 37.71788815769487)
34032000,CALIFORNIA,AVE,34032000,POINT (-122.36542539277275 37.82027670421376)
21506000,MORSE,ST,21506000,POINT (-122.44319235866998 37.711943952959096)
20076000,REVERE,AVE,20076000,POINT (-122.38232027778284 37.72721672897407)
32891000,SLOAT,BLVD,32891000,POINT (-122.4933454437966 37.734008529880995)
